                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.83467,                0.02701,                0.08753,                0.51703,                0.90977,                      1,                0.86044,                  0.973,                0.58964,                      1,                0.86044,                  0.973,                0.95493,                 1.3112,                0.06833,                0.01893,                0.67868,                 1.1656,              0.0003368,              0.0003368,              0.0003368
                     87,                0.80812,                0.01885,                0.06384,                0.48754,                0.90541,                0.93256,                0.86483,                0.95942,                0.60364,                0.93256,                0.86483,                0.95942,                0.94055,                 1.3476,                0.06587,                0.01947,                0.70322,                 1.1844,               0.000317,               0.000317,               0.000317
                     88,                0.77032,                0.01813,                0.04362,                0.51788,                0.89519,                0.79826,                0.98968,                0.95475,                0.59699,                0.79826,                0.98968,                0.95475,                  0.936,                 1.3834,                0.06319,                0.02092,                0.71921,                 1.1992,              0.0002972,              0.0002972,              0.0002972
                     89,                0.80699,                0.01924,                0.03539,                0.51088,                0.88301,                0.79804,                0.98837,                0.95359,                0.57565,                0.79804,                0.98837,                0.95359,                0.93481,                  1.416,                0.06159,                0.02103,                0.71945,                 1.2186,              0.0002774,              0.0002774,              0.0002774
                     90,                0.73642,                0.03104,                0.06815,                 0.5207,                0.87237,                0.83061,                 0.9375,                0.94696,                0.57343,                0.83061,                 0.9375,                0.94696,                0.92811,                 1.4161,                0.06253,                 0.0209,                0.73487,                  1.225,              0.0002576,              0.0002576,              0.0002576
                     91,                0.73653,                0.01768,                0.00612,                0.48444,                0.85044,                0.82142,                 0.9375,                0.94489,                0.56249,                0.82142,                 0.9375,                0.94489,                0.92612,                 1.4358,                0.06469,                0.01887,                0.73601,                 1.2399,              0.0002378,              0.0002378,              0.0002378
                     92,                0.80648,                0.01821,                0.01058,                0.47058,                0.85569,                0.81765,                 0.9375,                0.94443,                0.56581,                0.81765,                 0.9375,                0.94443,                0.92559,                 1.4608,                0.06591,                0.01649,                0.73508,                 1.2537,               0.000218,               0.000218,               0.000218
                     93,                0.68986,                0.01869,                0.00708,                0.45626,                0.85112,                0.86244,                 0.9375,                 0.9596,                0.56716,                0.86244,                 0.9375,                 0.9596,                0.94157,                 1.4747,                0.06686,                0.01472,                0.74275,                 1.2613,              0.0001982,              0.0001982,              0.0001982
                     94,                0.66842,                 0.0187,                0.00572,                0.47213,                 0.8417,                0.88987,                 0.9375,                 0.9699,                  0.555,                0.88987,                 0.9375,                 0.9699,                  0.952,                 1.4886,                0.06658,                0.01258,                0.73625,                 1.2627,              0.0001784,              0.0001784,              0.0001784
                     95,                0.80981,                0.01998,                0.00766,                0.47506,                 0.8671,                0.88502,                0.96301,                0.97271,                0.55066,                0.88502,                0.96301,                0.97271,                0.95472,                 1.5076,                0.06586,                0.01083,                0.74343,                 1.2734,              0.0001586,              0.0001586,              0.0001586
                     96,                0.77404,                0.02504,                0.00526,                0.47094,                0.86233,                0.88401,                      1,                0.97324,                0.54925,                0.88401,                      1,                0.97676,                0.95876,                 1.5338,                 0.0628,                0.01021,                0.74168,                 1.3025,              0.0001388,              0.0001388,              0.0001388
                     97,                0.82492,                0.02063,                0.00657,                0.51067,                0.86188,                 0.8861,                      1,                0.97324,                0.53888,                 0.8861,                      1,                0.97676,                 0.9677,                 1.5456,                0.06105,                0.00952,                 0.7425,                  1.316,               0.000119,               0.000119,               0.000119
                     98,                0.69579,                0.01845,                0.00557,                0.44948,                0.85933,                0.88688,                0.98083,                0.97646,                0.54531,                0.88688,                0.98083,                0.97646,                0.96731,                 1.5488,                0.05876,                0.00914,                0.74099,                 1.3237,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.63594,                0.01824,                0.00928,                0.42146,                0.87142,                 0.8802,                      1,                  0.969,                0.55085,                 0.8802,                      1,                  0.969,                0.96029,                 1.5337,                0.05652,                0.00894,                0.74286,                 1.3214,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.68095,                0.02121,                 0.0052,                0.45379,                0.84029,                0.88028,                      1,                0.96571,                0.55207,                0.88028,                      1,                0.96571,                0.95692,                 1.5304,                0.05537,                0.00883,                0.73746,                 1.3206,               5.96e-05,               5.96e-05,               5.96e-05
