                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.4281,                0.05897,                0.17385,                 1.0051,                 1.1102,                0.68088,                 0.9375,                0.80716,                0.37716,                0.68088,                 0.9375,                0.80716,                0.80716,                 1.6296,                0.08307,                 0.0454,                 1.4301,                 1.4104,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.4146,                0.07716,                0.09569,                0.96389,                 1.0581,                0.73352,                0.86082,                0.83535,                0.45488,                0.73352,                0.86082,                0.83535,                0.83535,                  1.623,                0.09511,                0.04329,                 1.1552,                 1.4146,              0.0014236,              0.0014236,              0.0014236
                     24,                  1.344,                0.06021,                0.12838,                 1.0021,                  1.091,                0.65876,                 0.8125,                0.81423,                0.44105,                0.72059,                   0.75,                0.83731,                0.82139,                 1.5641,                 0.1136,                0.03127,                 1.0843,                 1.3616,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.4379,                0.06291,                0.13074,                0.94769,                 1.0899,                0.85447,                 0.8125,                0.84163,                0.43935,                0.85447,                 0.8125,                0.84163,                0.82826,                 1.6553,                0.11462,                0.02699,                 1.1192,                 1.3421,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.2711,                0.05525,                0.07231,                0.91427,                 1.0555,                 0.6921,                  0.875,                0.77706,                0.39123,                 0.6972,                  0.875,                0.79684,                0.78143,                 1.5995,                 0.1115,                 0.0312,                 1.2123,                   1.32,               0.001505,               0.001505,               0.001505
                     27,                 1.2972,                0.05108,                 0.0402,                0.83107,                 1.0183,                0.68869,                   0.75,                0.78298,                0.36628,                0.68869,                   0.75,                0.78562,                0.77076,                 1.5101,                0.12267,                0.04294,                 1.1918,                 1.3223,               0.001505,               0.001505,               0.001505
                     28,                 1.4265,                0.07032,                0.08087,                0.86724,                 1.0397,                0.65681,                0.71858,                 0.7829,                   0.41,                0.65681,                0.71858,                 0.7829,                0.76712,                 1.6085,                0.13182,                0.03416,                 1.1016,                 1.4019,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2679,                0.06315,                0.05641,                0.80691,                 1.0451,                0.80343,                  0.875,                0.84212,                0.45259,                0.79627,                  0.875,                0.89188,                0.87182,                 1.7366,                0.14159,                0.03186,                 1.0432,                 1.4173,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4216,                0.04551,                0.12223,                0.86605,                  1.109,                0.68314,                 0.8125,                0.74757,                0.44607,                 0.7402,                  0.875,                0.82767,                0.81549,                 1.7407,                0.13192,                0.03377,                 1.1826,                 1.4742,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3409,                0.05195,                0.11008,                0.88613,                 1.0614,                0.75577,                 0.6875,                 0.7774,                0.46972,                0.75577,                 0.6875,                0.78966,                0.78388,                 1.5931,                0.11623,                0.03851,                 1.3714,                  1.423,              0.0014258,              0.0014258,              0.0014258
